heure;habitat_collectif;restauration;commerces;bureaux
1943;0;22.1115705882353;0;0
1944;0;0;0;0
1945;0;0;0;0
1946;0;0;0;0
1947;0;0;0;0
1948;0;0;0;0
1949;0;0;0;0
1950;133.65216;0;0;1.82578397142857
1951;467.78256;0;0;1.82578397142857
1952;133.65216;0;0.536995285714286;5.47735191428571
1953;0;5.52789264705882;1.07399057142857;9.12891985714286
1954;0;5.52789264705882;1.07399057142857;7.30313588571428
1955;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
1956;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
1957;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
1958;0;27.6394632352941;1.61098585714286;7.30313588571428
1959;0;5.52789264705882;1.07399057142857;5.47735191428571
1960;0;5.52789264705882;1.07399057142857;3.65156794285714
1961;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
1962;467.78256;5.52789264705882;2.68497642857143;0
1963;267.30432;16.5836779411765;2.14798114285714;0
1964;133.65216;16.5836779411765;1.07399057142857;0
1965;0;44.2231411764706;0;0
1966;0;38.6952485294118;0;0
1967;0;22.1115705882353;0;0
1968;0;0;0;0
1969;0;0;0;0
1970;0;0;0;0
1971;0;0;0;0
1972;0;0;0;0
1973;0;0;0;0
1974;133.65216;0;0;1.82578397142857
1975;467.78256;0;0;1.82578397142857
1976;133.65216;0;0.536995285714286;5.47735191428571
1977;0;5.52789264705882;1.07399057142857;9.12891985714286
1978;0;5.52789264705882;1.07399057142857;7.30313588571428
1979;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
1980;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
1981;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
1982;0;27.6394632352941;1.61098585714286;7.30313588571428
1983;0;5.52789264705882;1.07399057142857;5.47735191428571
1984;0;5.52789264705882;1.07399057142857;3.65156794285714
1985;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
1986;467.78256;5.52789264705882;2.68497642857143;0
1987;267.30432;16.5836779411765;2.14798114285714;0
1988;133.65216;16.5836779411765;1.07399057142857;0
1989;0;44.2231411764706;0;0
1990;0;38.6952485294118;0;0
1991;0;22.1115705882353;0;0
1992;0;0;0;0
1993;0;0;0;0
1994;0;0;0;0
1995;0;0;0;0
1996;0;0;0;0
1997;0;0;0;0
1998;133.65216;0;0;1.82578397142857
1999;467.78256;0;0;1.82578397142857
2000;133.65216;0;0.536995285714286;5.47735191428571
2001;0;5.52789264705882;1.07399057142857;9.12891985714286
2002;0;5.52789264705882;1.07399057142857;7.30313588571428
2003;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2004;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2005;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2006;0;27.6394632352941;1.61098585714286;7.30313588571428
2007;0;5.52789264705882;1.07399057142857;5.47735191428571
2008;0;5.52789264705882;1.07399057142857;3.65156794285714
2009;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2010;467.78256;5.52789264705882;2.68497642857143;0
2011;267.30432;16.5836779411765;2.14798114285714;0
2012;133.65216;16.5836779411765;1.07399057142857;0
2013;0;44.2231411764706;0;0
2014;0;38.6952485294118;0;0
2015;0;22.1115705882353;0;0
2016;0;0;0;0
2017;0;0;0;0
2018;0;0;0;0
2019;0;0;0;0
2020;0;0;0;0
2021;0;0;0;0
2022;133.65216;0;0;1.82578397142857
2023;467.78256;0;0;1.82578397142857
2024;133.65216;0;0.536995285714286;5.47735191428571
2025;0;5.52789264705882;1.07399057142857;9.12891985714286
2026;0;5.52789264705882;1.07399057142857;7.30313588571428
2027;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2028;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2029;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2030;0;27.6394632352941;1.61098585714286;7.30313588571428
2031;0;5.52789264705882;1.07399057142857;5.47735191428571
2032;0;5.52789264705882;1.07399057142857;3.65156794285714
2033;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2034;467.78256;5.52789264705882;2.68497642857143;0
2035;267.30432;16.5836779411765;2.14798114285714;0
2036;133.65216;16.5836779411765;1.07399057142857;0
2037;0;44.2231411764706;0;0
2038;0;38.6952485294118;0;0
2039;0;22.1115705882353;0;0
2040;0;0;0;0
2041;0;0;0;0
2042;0;0;0;0
2043;0;0;0;0
2044;0;0;0;0
2045;0;0;0;0
2046;133.65216;0;0;1.82578397142857
2047;467.78256;0;0;1.82578397142857
2048;133.65216;0;0.536995285714286;5.47735191428571
2049;0;5.52789264705882;1.07399057142857;9.12891985714286
