,A3,,A1 habitations,,A1 bureau,,B2 habitations,,B2 bureau,,C1 habitations,,C1 restauration,,C1 dépôt,,C2 habitations,,C2 bureau,,D1 ferme,,D2 dépôt
A3,A3,A1 habitations,,A1 bureau,,B2 habitations,,B2 bureau,,C1 habitations,,C1 restauration,,C1 dépôt,,C2 habitations,,C2 bureau,,D1 ferme,,D2 dépôt,
#Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2],Dates,P[W/m2]
Samedi 1 Janv. à 22h00,0,Samedi 1 Janv. à 22h00,0.5,Samedi 1 Janv. à 22h00,3.2,Samedi 1 Janv. à 22h00,2.2,Samedi 1 Janv. à 22h00,0,Samedi 1 Janv. à 22h00,3.4,Samedi 1 Janv. à 22h00,0,Samedi 1 Janv. à 22h00,0,Samedi 1 Janv. à 22h00,3.3,Samedi 1 Janv. à 22h00,0,Samedi 1 Janv. à 22h00,4.5,Samedi 1 Janv. à 22h00,0
Samedi 1 Janv. à 23h00,0,Samedi 1 Janv. à 23h00,2.1,Samedi 1 Janv. à 23h00,3.3,Samedi 1 Janv. à 23h00,2.3,Samedi 1 Janv. à 23h00,0,Samedi 1 Janv. à 23h00,3.5,Samedi 1 Janv. à 23h00,0,Samedi 1 Janv. à 23h00,0,Samedi 1 Janv. à 23h00,3.4,Samedi 1 Janv. à 23h00,1.8,Samedi 1 Janv. à 23h00,4.6,Samedi 1 Janv. à 23h00,0
Dimanche 2 Janv. à 00h00,0,Dimanche 2 Janv. à 00h00,2.3,Dimanche 2 Janv. à 00h00,3.5,Dimanche 2 Janv. à 00h00,2.5,Dimanche 2 Janv. à 00h00,0,Dimanche 2 Janv. à 00h00,3.7,Dimanche 2 Janv. à 00h00,0,Dimanche 2 Janv. à 00h00,0,Dimanche 2 Janv. à 00h00,3.6,Dimanche 2 Janv. à 00h00,2.3,Dimanche 2 Janv. à 00h00,4.9,Dimanche 2 Janv. à 00h00,0
Dimanche 2 Janv. à 01h00,0,Dimanche 2 Janv. à 01h00,2.6,Dimanche 2 Janv. à 01h00,3.7,Dimanche 2 Janv. à 01h00,2.7,Dimanche 2 Janv. à 01h00,0,Dimanche 2 Janv. à 01h00,4,Dimanche 2 Janv. à 01h00,0,Dimanche 2 Janv. à 01h00,0,Dimanche 2 Janv. à 01h00,3.9,Dimanche 2 Janv. à 01h00,2.5,Dimanche 2 Janv. à 01h00,5.2,Dimanche 2 Janv. à 01h00,0
Dimanche 2 Janv. à 02h00,0,Dimanche 2 Janv. à 02h00,2.8,Dimanche 2 Janv. à 02h00,3.9,Dimanche 2 Janv. à 02h00,2.9,Dimanche 2 Janv. à 02h00,0,Dimanche 2 Janv. à 02h00,4.2,Dimanche 2 Janv. à 02h00,0,Dimanche 2 Janv. à 02h00,0,Dimanche 2 Janv. à 02h00,4.1,Dimanche 2 Janv. à 02h00,2.7,Dimanche 2 Janv. à 02h00,5.5,Dimanche 2 Janv. à 02h00,0
Dimanche 2 Janv. à 03h00,0,Dimanche 2 Janv. à 03h00,3,Dimanche 2 Janv. à 03h00,4.1,Dimanche 2 Janv. à 03h00,3.1,Dimanche 2 Janv. à 03h00,0,Dimanche 2 Janv. à 03h00,4.4,Dimanche 2 Janv. à 03h00,0,Dimanche 2 Janv. à 03h00,0,Dimanche 2 Janv. à 03h00,4.3,Dimanche 2 Janv. à 03h00,2.9,Dimanche 2 Janv. à 03h00,5.7,Dimanche 2 Janv. à 03h00,0
Dimanche 2 Janv. à 04h00,0,Dimanche 2 Janv. à 04h00,3.2,Dimanche 2 Janv. à 04h00,4.3,Dimanche 2 Janv. à 04h00,3.3,Dimanche 2 Janv. à 04h00,0,Dimanche 2 Janv. à 04h00,4.6,Dimanche 2 Janv. à 04h00,0,Dimanche 2 Janv. à 04h00,0,Dimanche 2 Janv. à 04h00,4.5,Dimanche 2 Janv. à 04h00,3,Dimanche 2 Janv. à 04h00,6,Dimanche 2 Janv. à 04h00,0
Dimanche 2 Janv. à 05h00,0,Dimanche 2 Janv. à 05h00,3.4,Dimanche 2 Janv. à 05h00,4.5,Dimanche 2 Janv. à 05h00,3.5,Dimanche 2 Janv. à 05h00,0,Dimanche 2 Janv. à 05h00,4.9,Dimanche 2 Janv. à 05h00,0,Dimanche 2 Janv. à 05h00,0,Dimanche 2 Janv. à 05h00,4.8,Dimanche 2 Janv. à 05h00,3.3,Dimanche 2 Janv. à 05h00,6.3,Dimanche 2 Janv. à 05h00,0
Dimanche 2 Janv. à 06h00,0,Dimanche 2 Janv. à 06h00,3.6,Dimanche 2 Janv. à 06h00,4.7,Dimanche 2 Janv. à 06h00,3.7,Dimanche 2 Janv. à 06h00,0,Dimanche 2 Janv. à 06h00,5.1,Dimanche 2 Janv. à 06h00,1.5,Dimanche 2 Janv. à 06h00,0,Dimanche 2 Janv. à 06h00,5,Dimanche 2 Janv. à 06h00,3.4,Dimanche 2 Janv. à 06h00,6.6,Dimanche 2 Janv. à 06h00,0
Dimanche 2 Janv. à 07h00,0,Dimanche 2 Janv. à 07h00,3.8,Dimanche 2 Janv. à 07h00,4.9,Dimanche 2 Janv. à 07h00,3.9,Dimanche 2 Janv. à 07h00,0,Dimanche 2 Janv. à 07h00,5.3,Dimanche 2 Janv. à 07h00,3.3,Dimanche 2 Janv. à 07h00,0,Dimanche 2 Janv. à 07h00,5.2,Dimanche 2 Janv. à 07h00,3.6,Dimanche 2 Janv. à 07h00,6.9,Dimanche 2 Janv. à 07h00,0
