Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
130.000000;0.000000;383707.870175;77.072070;5.000000;5.000000;0.000000;561.339962
131.000000;0.000000;383510.685911;77.039657;5.000000;5.000000;0.000000;578.300459
132.000000;0.000000;383186.318659;76.986339;5.000000;5.000000;0.000000;597.954959
133.000000;0.000000;383319.421334;77.008218;5.000000;5.000000;0.000000;559.870953
134.000000;0.000000;383529.605018;77.042767;5.000000;5.000000;0.000000;600.000000
135.000000;0.000000;383635.229648;77.060129;5.000000;5.000000;0.000000;600.000000
136.000000;0.000000;383610.605089;77.056082;5.000000;5.000000;0.000000;600.000000
137.000000;0.000000;383350.873405;77.013388;5.000000;5.000000;0.000000;600.000000
138.000000;0.000000;382797.763176;76.922470;5.000000;5.000000;0.000000;600.000000
139.000000;0.000000;382412.696568;76.859175;5.000000;5.000000;0.000000;482.475912
140.000000;0.000000;382151.273282;76.816204;5.000000;5.000000;0.000000;330.230478
141.000000;0.000000;381983.489861;76.788624;5.000000;5.000000;0.000000;366.431377
142.000000;0.000000;381815.162969;76.760955;5.000000;5.000000;0.000000;401.099652
143.000000;0.000000;381659.886416;76.735432;5.000000;5.000000;0.000000;437.608546
144.000000;0.000000;381526.728964;76.713544;5.000000;5.000000;0.000000;504.463579
145.000000;0.000000;381393.577968;76.691657;5.000000;5.000000;0.000000;572.468080
146.000000;0.000000;381354.957533;76.685309;5.000000;5.000000;0.000000;600.000000
147.000000;0.000000;381380.961225;76.689583;5.000000;5.000000;0.000000;600.000000
148.000000;0.000000;381394.320060;76.691779;5.000000;5.000000;0.000000;600.000000
149.000000;0.000000;381401.196653;76.692910;5.000000;5.000000;0.000000;600.000000
150.000000;0.000000;381228.285979;76.664487;5.000000;5.000000;0.000000;600.000000
151.000000;-0.000000;380605.016611;76.562037;5.000000;5.000000;0.000000;532.205636
152.000000;0.000000;380330.851803;76.516971;5.000000;5.000000;0.000000;553.138790
153.000000;0.000000;380261.868565;76.505632;5.000000;5.000000;0.000000;600.000000
154.000000;0.000000;380384.239529;76.525747;5.000000;5.000000;0.000000;600.000000
155.000000;0.000000;380487.555200;76.542730;5.000000;5.000000;0.000000;600.000000
156.000000;0.000000;380448.322402;76.536281;5.000000;5.000000;0.000000;600.000000
157.000000;0.000000;380245.602844;76.502959;5.000000;5.000000;0.000000;516.272176
158.000000;0.000000;380229.372887;76.500291;5.000000;5.000000;0.000000;558.857319
159.000000;0.000000;380217.629607;76.498360;5.000000;5.000000;0.000000;600.000000
160.000000;0.000000;380205.509802;76.496368;5.000000;5.000000;0.000000;600.000000
161.000000;0.000000;379964.322619;76.456723;5.000000;5.000000;0.000000;600.000000
162.000000;0.000000;379420.118400;76.367269;5.000000;5.000000;0.000000;600.000000
163.000000;0.000000;379020.658077;76.301608;5.000000;5.000000;0.000000;496.271694
164.000000;-0.000000;378751.821274;76.257418;5.000000;5.000000;0.000000;357.822042
165.000000;0.000000;378586.133194;76.230183;5.000000;5.000000;0.000000;405.424414
166.000000;0.000000;378423.596042;76.203466;5.000000;5.000000;0.000000;451.494161
167.000000;0.000000;378273.379949;76.178774;5.000000;5.000000;0.000000;499.404528
168.000000;0.000000;378139.167210;76.156713;5.000000;5.000000;0.000000;582.046215
169.000000;0.000000;378147.294236;76.158049;5.000000;5.000000;0.000000;600.000000
170.000000;0.000000;378178.617096;76.163197;5.000000;5.000000;0.000000;600.000000
171.000000;0.000000;378200.041241;76.166719;5.000000;5.000000;0.000000;600.000000
