Heure;Bilan [kWh];Stockage eau [kWh];Température du stock [°C];COP chauffage;COP ECS;ECS Gachée [kWh];Stock batterie [kWh];Stockage hydrogene [kWh];consElecPac;pertes_horaires
78.000000;0.000000;211619.295195;48.784970;8.102615;8.094874;0.000000;250.000000;7800.597155;34.079097;11.453297
79.000000;0.000000;211078.680562;48.696107;8.087427;8.079343;0.000000;83.830669;7800.597155;76.344278;11.441566
80.000000;0.000000;210839.817991;48.656844;8.053692;8.046456;0.000000;53.446561;7800.597155;33.881287;11.415351
81.000000;0.000000;210773.547326;48.645950;8.041255;8.035628;0.000000;57.086113;7800.597155;14.866907;11.403769
82.000000;0.000000;210748.099219;48.641767;8.038340;8.033955;0.000000;63.198398;7800.597155;11.800467;11.400555
83.000000;0.000000;210657.512331;48.626877;8.037953;8.035691;0.000000;54.096008;7800.597155;23.789438;11.399321
84.000000;0.000000;210462.204628;48.594773;8.033537;8.031678;0.000000;33.322576;7800.597155;41.426779;11.394929
85.000000;0.000000;210455.376588;48.593651;8.026216;8.025025;0.000000;0.000000;7712.522117;25.569272;11.385458
86.000000;0.000000;210464.858002;48.595210;8.019875;8.017699;0.000000;0.000000;7706.759768;9.591126;11.385127
87.000000;0.000000;210455.483504;48.593669;8.018093;8.015803;0.000000;4.818490;7706.759768;6.807825;11.385587
88.000000;0.000000;210402.996375;48.585041;8.015152;8.012475;0.000000;10.464961;7706.759768;7.482454;11.385132
89.000000;0.000000;210163.597383;48.545690;8.011923;8.008503;0.000000;0.000000;7699.786835;34.154493;11.382587
90.000000;0.000000;209676.932654;48.465694;7.997227;7.992927;0.000000;0.000000;7637.222572;69.587679;11.370978
91.000000;0.000000;209350.948349;48.412110;7.967519;7.962908;0.000000;0.000000;7484.537178;46.810054;11.347380
92.000000;0.000000;209140.609333;48.377536;7.947743;7.943021;0.000000;0.000000;7316.809593;30.287385;11.331573
93.000000;0.000000;209022.003596;48.358040;7.935035;7.930214;0.000000;21.311507;7316.809593;17.106277;11.321373
94.000000;0.000000;208904.748810;48.338766;7.927886;7.922865;0.000000;41.265639;7316.809593;16.928584;11.315622
95.000000;0.000000;208795.354074;48.320784;7.920832;7.915422;0.000000;64.049816;7316.809593;15.808771;11.309936
96.000000;0.000000;208694.835327;48.304262;7.914262;7.908235;0.000000;105.864745;7316.809593;14.537884;11.304631
97.000000;0.000000;208591.014177;48.287196;7.908235;7.902019;0.000000;148.375997;7316.809593;15.028607;11.299757
98.000000;0.000000;208483.121499;48.269461;7.902019;7.895570;0.000000;190.344155;7316.809593;15.632045;11.294723
99.000000;0.000000;208373.104275;48.251377;7.895570;7.889005;0.000000;232.021862;7316.809593;15.954768;11.289491
100.000000;0.000000;208257.532835;48.232380;7.889005;7.882120;0.000000;250.000000;7322.932331;16.776216;11.284156
101.000000;0.000000;208137.658946;48.212676;7.882120;7.874992;0.000000;250.000000;7333.695171;17.418162;11.278552
102.000000;0.000000;207895.937188;48.172943;7.874992;7.867663;0.000000;250.000000;7335.315272;35.177926;11.272739
103.000000;0.000000;207359.682730;48.084796;7.860656;7.853178;0.000000;80.664707;7335.315272;78.228904;11.261018
104.000000;0.000000;207124.413852;48.046123;7.829039;7.822383;0.000000;48.778269;7335.315272;34.468644;11.235015
105.000000;0.000000;207064.761377;48.036318;7.817496;7.812561;0.000000;54.144230;7335.315272;14.383934;11.223606
106.000000;0.000000;207031.549122;48.030859;7.814005;7.810527;0.000000;59.019240;7335.315272;10.510478;11.220714
107.000000;0.000000;206893.555401;48.008176;7.812063;7.809369;0.000000;43.942196;7335.315272;25.901886;11.219103
108.000000;0.000000;206735.224965;47.982150;7.809608;7.807706;0.000000;31.461552;7335.315272;42.998529;11.212412
109.000000;0.000000;207373.566408;48.087078;7.840869;7.839250;0.000000;11.417268;7335.315272;27.379032;11.204734
110.000000;0.000000;207881.594492;48.170585;7.863832;7.861696;0.000000;76.000980;7335.315272;9.904357;11.235688
111.000000;0.000000;207909.962949;48.175248;7.864355;7.862111;0.000000;86.657833;7335.315272;7.056014;11.260323
112.000000;0.000000;207876.854073;48.169806;7.862624;7.860057;0.000000;92.299751;7335.315272;7.622773;11.261698
113.000000;0.000000;207632.216190;48.129593;7.859527;7.855896;0.000000;71.322247;7335.315272;35.678108;11.260093
114.000000;0.000000;207144.793950;48.049473;7.845076;7.840825;0.000000;0.000000;7334.318551;71.245419;11.248230
115.000000;0.000000;206819.405129;47.995987;7.816441;7.811997;0.000000;0.000000;7179.718719;47.759753;11.224595
116.000000;0.000000;206608.152446;47.961263;7.797441;7.792822;0.000000;0.000000;7010.222318;31.091461;11.208816
117.000000;0.000000;206488.155420;47.941538;7.785156;7.780429;0.000000;19.918621;7010.222318;17.689188;11.198572
118.000000;0.000000;206365.047559;47.921302;7.778194;7.773016;0.000000;37.890685;7010.222318;18.166142;11.192754
119.000000;0.000000;206248.944501;47.902218;7.771065;7.765467;0.000000;58.600124;7010.222318;17.149296;11.186784
120.000000;0.000000;206148.104417;47.885642;7.764354;7.758534;0.000000;100.082335;7010.222318;14.907571;11.181154
121.000000;0.000000;206042.497383;47.868283;7.758534;7.752449;0.000000;142.056175;7010.222318;15.625731;11.176264
122.000000;0.000000;205932.877790;47.850264;7.752449;7.746142;0.000000;183.482528;7010.222318;16.234051;11.171143
123.000000;0.000000;205817.083920;47.831231;7.746142;7.739491;0.000000;224.071514;7010.222318;17.164458;11.165828
124.000000;0.000000;205696.047054;47.811335;7.739491;7.732552;0.000000;250.000000;7013.941011;17.959347;11.160213
125.000000;0.000000;205571.368045;47.790841;7.732552;7.725416;0.000000;250.000000;7024.439691;18.518834;11.154344
126.000000;0.000000;205306.118620;47.747241;7.725416;7.717002;0.000000;250.000000;7025.031658;39.461817;11.148298
127.000000;0.000000;204742.146183;47.654537;7.710280;7.701443;0.000000;74.111996;7025.031658;84.126343;11.135436
128.000000;0.000000;204479.503175;47.611365;7.678293;7.670326;0.000000;36.468954;7025.031658;39.349588;11.108089
129.000000;0.000000;204374.774577;47.594151;7.664567;7.658367;0.000000;33.856794;7025.031658;18.597057;11.095353
130.000000;0.000000;204308.886002;47.583320;7.658677;7.654577;0.000000;35.249487;7025.031658;12.779719;11.090274
131.000000;0.000000;204146.052493;47.556554;7.654977;7.652051;0.000000;16.106123;7025.031658;27.361574;11.087079
132.000000;0.000000;203880.941258;47.512977;7.645846;7.644448;0.000000;0.000000;7011.404617;42.788502;11.079184
133.000000;0.000000;204235.166896;47.571203;7.660058;7.658701;0.000000;0.000000;6948.605473;27.538321;11.066328
134.000000;0.000000;204560.020618;47.624600;7.671353;7.669811;0.000000;38.787503;6948.605473;8.866812;11.083505
135.000000;0.000000;204616.142648;47.633826;7.673431;7.671775;0.000000;52.216348;6948.605473;5.976023;11.099257
136.000000;0.000000;204577.734274;47.627512;7.672265;7.669520;0.000000;57.397662;6948.605473;8.634556;11.101979
137.000000;0.000000;204326.664321;47.586243;7.669017;7.665161;0.000000;34.214655;6948.605473;37.663060;11.100116
138.000000;0.000000;203840.481788;47.506326;7.654897;7.650834;0.000000;0.000000;6912.363000;73.094338;11.087942
139.000000;0.000000;203511.765566;47.452293;7.627700;7.623232;0.000000;0.000000;6755.900298;49.622623;11.064366
140.000000;0.000000;203290.551764;47.415931;7.609421;7.604443;0.000000;0.000000;6584.010905;33.484453;11.048427
141.000000;0.000000;203150.695767;47.392942;7.597170;7.591564;0.000000;16.754980;6584.010905;21.204344;11.037700
