Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
110.000000;0.000000;1586589.917698;79.199021;5.000000;5.000000;0.000000
111.000000;0.000000;1586641.602131;79.201145;5.000000;5.000000;0.000000
112.000000;0.000000;1586590.968682;79.199064;5.000000;5.000000;0.000000
113.000000;0.000000;1586308.412564;79.187453;5.000000;5.000000;0.000000
114.000000;0.000000;1585725.085737;79.163482;5.000000;5.000000;0.000000
115.000000;0.000000;1585314.622416;79.146614;5.000000;5.000000;0.000000
116.000000;0.000000;1585034.960059;79.135122;5.000000;5.000000;0.000000
117.000000;0.000000;1584859.953779;79.127930;5.000000;5.000000;0.000000
118.000000;0.000000;1584681.359142;79.120591;5.000000;5.000000;0.000000
119.000000;0.000000;1584510.785540;79.113581;5.000000;5.000000;0.000000
120.000000;0.000000;1584357.716126;79.107291;5.000000;5.000000;0.000000
121.000000;0.000000;1584199.161303;79.100775;5.000000;5.000000;0.000000
122.000000;0.000000;1584050.389199;79.094662;5.000000;5.000000;0.000000
123.000000;0.000000;1584010.185970;79.093010;5.000000;5.000000;0.000000
124.000000;0.000000;1583963.942557;79.091109;5.000000;5.000000;0.000000
125.000000;0.000000;1583913.495335;79.089036;5.000000;5.000000;0.000000
126.000000;0.000000;1583659.052120;79.078580;5.000000;5.000000;0.000000
127.000000;0.000000;1582973.611413;79.050413;5.000000;5.000000;0.000000
128.000000;0.000000;1582634.270104;79.036468;5.000000;5.000000;0.000000
129.000000;0.000000;1582459.133179;79.029271;5.000000;5.000000;0.000000
130.000000;0.000000;1582328.653792;79.023909;5.000000;5.000000;0.000000
131.000000;0.000000;1582091.388335;79.014159;5.000000;5.000000;0.000000
132.000000;0.000000;1581731.677445;78.999377;5.000000;5.000000;0.000000
133.000000;0.000000;1581658.791545;78.996382;5.000000;5.000000;0.000000
134.000000;0.000000;1581731.062701;78.999352;5.000000;5.000000;0.000000
135.000000;0.000000;1581780.141232;79.001369;5.000000;5.000000;0.000000
136.000000;0.000000;1581720.132432;78.998903;5.000000;5.000000;0.000000
137.000000;0.000000;1581429.205517;78.986947;5.000000;5.000000;0.000000
138.000000;0.000000;1580845.277244;78.962952;5.000000;5.000000;0.000000
139.000000;0.000000;1580429.609810;78.945870;5.000000;5.000000;0.000000
140.000000;0.000000;1580137.579496;78.933870;5.000000;5.000000;0.000000
141.000000;0.000000;1579939.185130;78.925717;5.000000;5.000000;0.000000
142.000000;0.000000;1579740.245109;78.917542;5.000000;5.000000;0.000000
143.000000;0.000000;1579554.353233;78.909903;5.000000;5.000000;0.000000
144.000000;0.000000;1579390.578504;78.903173;5.000000;5.000000;0.000000
145.000000;0.000000;1579226.808688;78.896443;5.000000;5.000000;0.000000
146.000000;0.000000;1579155.751645;78.893523;5.000000;5.000000;0.000000
147.000000;0.000000;1579148.078432;78.893207;5.000000;5.000000;0.000000
148.000000;0.000000;1579127.766069;78.892373;5.000000;5.000000;0.000000
149.000000;0.000000;1579100.975791;78.891272;5.000000;5.000000;0.000000
150.000000;0.000000;1578895.213042;78.882816;5.000000;5.000000;0.000000
151.000000;-0.000000;1578241.325243;78.855945;5.000000;5.000000;0.000000
152.000000;0.000000;1577931.791395;78.843225;5.000000;5.000000;0.000000
153.000000;0.000000;1577821.283691;78.838684;5.000000;5.000000;0.000000
154.000000;0.000000;1577896.204967;78.841763;5.000000;5.000000;0.000000
155.000000;0.000000;1577950.364067;78.843989;5.000000;5.000000;0.000000
156.000000;0.000000;1577846.448203;78.839718;5.000000;5.000000;0.000000
157.000000;0.000000;1577598.883854;78.829545;5.000000;5.000000;0.000000
158.000000;0.000000;1577518.846701;78.826256;5.000000;5.000000;0.000000
159.000000;0.000000;1577463.591069;78.823985;5.000000;5.000000;0.000000
160.000000;0.000000;1577415.274502;78.822000;5.000000;5.000000;0.000000
161.000000;0.000000;1577142.185789;78.810777;5.000000;5.000000;0.000000
162.000000;0.000000;1576566.521671;78.787121;5.000000;5.000000;0.000000
163.000000;0.000000;1576136.425093;78.769447;5.000000;5.000000;0.000000
164.000000;-0.000000;1575836.945568;78.757140;5.000000;5.000000;0.000000
165.000000;0.000000;1575640.610715;78.749072;5.000000;5.000000;0.000000
166.000000;0.000000;1575447.424644;78.741133;5.000000;5.000000;0.000000
167.000000;0.000000;1575266.557546;78.733701;5.000000;5.000000;0.000000
168.000000;0.000000;1575101.691944;78.726926;5.000000;5.000000;0.000000
169.000000;0.000000;1575075.693369;78.725857;5.000000;5.000000;0.000000
170.000000;0.000000;1575071.945107;78.725703;5.000000;5.000000;0.000000
171.000000;0.000000;1575058.306886;78.725143;5.000000;5.000000;0.000000
172.000000;0.000000;1575038.068953;78.724311;5.000000;5.000000;0.000000
173.000000;0.000000;1575010.637996;78.723184;5.000000;5.000000;0.000000
174.000000;0.000000;1574797.942657;78.714444;5.000000;5.000000;0.000000
175.000000;0.000000;1574092.688769;78.685462;5.000000;5.000000;0.000000
176.000000;0.000000;1573740.833874;78.671003;5.000000;5.000000;0.000000
177.000000;0.000000;1573628.266368;78.666377;5.000000;5.000000;0.000000
178.000000;0.000000;1573610.544728;78.665649;5.000000;5.000000;0.000000
179.000000;0.000000;1573515.632733;78.661749;5.000000;5.000000;0.000000
180.000000;0.000000;1573307.093112;78.653179;5.000000;5.000000;0.000000
181.000000;0.000000;1573338.103384;78.654453;5.000000;5.000000;0.000000
182.000000;0.000000;1573625.497791;78.666263;5.000000;5.000000;0.000000
183.000000;0.000000;1573722.102137;78.670233;5.000000;5.000000;0.000000
184.000000;0.000000;1573691.531262;78.668977;5.000000;5.000000;0.000000
185.000000;0.000000;1573441.193588;78.658690;5.000000;5.000000;0.000000
186.000000;0.000000;1572892.504587;78.636142;5.000000;5.000000;0.000000
187.000000;0.000000;1572452.465224;78.618059;5.000000;5.000000;0.000000
188.000000;0.000000;1572142.957713;78.605340;5.000000;5.000000;0.000000
189.000000;0.000000;1571934.975173;78.596793;5.000000;5.000000;0.000000
190.000000;0.000000;1571709.891765;78.587544;5.000000;5.000000;0.000000
191.000000;0.000000;1571493.532788;78.578653;5.000000;5.000000;0.000000
192.000000;0.000000;1571498.789438;78.578869;5.000000;5.000000;0.000000
193.000000;0.000000;1571534.930595;78.580354;5.000000;5.000000;0.000000
194.000000;0.000000;1571562.608300;78.581491;5.000000;5.000000;0.000000
195.000000;0.000000;1571583.713369;78.582359;5.000000;5.000000;0.000000
196.000000;0.000000;1571598.098076;78.582950;5.000000;5.000000;0.000000
197.000000;0.000000;1571606.991590;78.583315;5.000000;5.000000;0.000000
198.000000;0.000000;1571431.431981;78.576101;5.000000;5.000000;0.000000
199.000000;0.000000;1570716.248584;78.546711;5.000000;5.000000;0.000000
200.000000;0.000000;1570421.247898;78.534589;5.000000;5.000000;0.000000
201.000000;0.000000;1570470.712279;78.536621;5.000000;5.000000;0.000000
202.000000;0.000000;1570639.953219;78.543576;5.000000;5.000000;0.000000
203.000000;0.000000;1570757.247351;78.548396;5.000000;5.000000;0.000000
204.000000;0.000000;1570810.015922;78.550565;5.000000;5.000000;0.000000
