heure,prodPV,prodHydro,prodSolTh,consChal,consECS,consFroid,consElec
4599,26.52,130.0,346.8,0.0,12.0792351327731,7.371,82.00125797
4600,18.189999999999998,130.0,265.2,0.0,10.25345116134453,6.615,77.00664909
4601,11.135,130.0,163.20000000000002,0.0,209.97989776134452,5.859,72.79986579
4602,6.46,130.0,81.60000000000001,0.0,475.9954290756302,8.586,83.5395442
4603,2.295,130.0,20.400000000000002,0.0,286.03597908403367,-0.0,196.4382996
4604,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4605,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4606,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4607,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4608,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4609,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4610,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4611,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4612,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4613,1.87,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4614,5.61,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4615,10.54,130.0,142.8,0.0,469.60834397142855,-0.0,163.7710804
4616,21.674999999999997,130.0,367.2,0.0,139.6665072,-0.0,84.32736978
4617,38.93,130.0,550.8000000000001,0.0,15.73080307563025,-0.0,74.8521068
4618,25.075,130.0,326.40000000000003,0.0,13.90501910420167,-0.0,78.27106451
4619,50.065,130.0,632.4,0.0,149.43350380840332,-0.0,83.26567339
4620,42.16,130.0,530.4,0.0,298.38055306386553,-0.0,77.93226975
4621,56.1,130.0,714.0,0.0,183.13785497647058,-0.0,206.4590438
4622,17.935000000000002,130.0,224.4,0.0,36.55358497815124,-0.0,96.53418264
4623,3.06,130.0,40.800000000000004,0.0,12.0792351327731,-0.0,82.00125797
4624,13.854999999999999,130.0,183.6,0.0,10.25345116134453,-0.0,77.00664909
4625,7.735,130.0,102.0,0.0,209.97989776134452,-0.0,72.79986579
4626,6.63,130.0,61.199999999999996,0.0,475.9954290756302,-0.0,83.5395442
4627,2.295,130.0,20.400000000000002,0.0,286.03597908403367,-0.0,196.4382996
4628,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4629,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4630,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4631,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4632,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4633,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4634,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4635,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4636,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4637,2.125,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4638,6.8,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4639,11.39,130.0,183.6,0.0,469.60834397142855,-0.0,163.7710804
4640,22.525,130.0,408.0,0.0,139.6665072,-0.0,84.32736978
4641,43.265,130.0,632.4,0.0,15.73080307563025,-0.0,74.8521068
4642,58.905,130.0,775.2,0.0,13.90501910420167,-0.0,78.27106451
4643,69.955,130.0,897.6,0.0,149.43350380840332,-0.0,83.26567339
4644,76.245,130.0,958.8,0.0,298.38055306386553,-0.0,77.93226975
4645,74.715,130.0,958.8,0.0,183.13785497647058,5.103,206.4590438
4646,64.685,130.0,856.8,0.0,36.55358497815124,8.127,96.53418264
4647,48.535,130.0,693.6,0.0,12.0792351327731,7.938,82.00125797
4648,27.794999999999998,130.0,469.20000000000005,0.0,10.25345116134453,7.182,77.00664909
4649,12.24,130.0,244.79999999999998,0.0,209.97989776134452,9.126,72.79986579
4650,4.93,130.0,40.800000000000004,0.0,475.9954290756302,11.853,83.5395442
4651,2.72,130.0,20.400000000000002,0.0,286.03597908403367,9.558,196.4382996
4652,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4653,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4654,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4655,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4656,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4657,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4658,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4659,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4660,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4661,2.125,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4662,6.46,130.0,40.800000000000004,0.0,135.47794397142857,-0.0,47.669872
4663,11.135,130.0,183.6,0.0,469.60834397142855,-0.0,163.7710804
4664,22.695,130.0,448.8,0.0,139.6665072,-0.0,84.32736978
4665,45.815000000000005,130.0,693.6,0.0,15.73080307563025,-0.0,74.8521068
4666,64.26,130.0,877.1999999999999,0.0,13.90501910420167,-0.0,78.27106451
4667,76.16,130.0,999.6,0.0,149.43350380840332,-0.0,83.26567339
4668,80.75,130.0,1040.4,0.0,298.38055306386553,-0.0,77.93226975
4669,77.52,130.0,999.6,0.0,183.13785497647058,-0.0,206.4590438
4670,67.405,130.0,897.6,0.0,36.55358497815124,-0.0,96.53418264
4671,50.574999999999996,130.0,734.4,0.0,12.0792351327731,-0.0,82.00125797
4672,28.475,130.0,510.0,0.0,10.25345116134453,-0.0,77.00664909
4673,11.985,130.0,244.79999999999998,0.0,209.97989776134452,-0.0,72.79986579
4674,4.76,130.0,40.800000000000004,0.0,475.9954290756302,-0.0,83.5395442
4675,2.72,130.0,20.400000000000002,0.0,286.03597908403367,-0.0,196.4382996
4676,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4677,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4678,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4679,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4680,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4681,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4682,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4683,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4684,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4685,1.4449999999999998,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4686,7.735,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4687,10.965,130.0,183.6,0.0,469.60834397142855,-0.0,163.7710804
4688,22.865000000000002,130.0,448.8,0.0,139.6665072,-0.0,84.32736978
4689,46.239999999999995,130.0,693.6,0.0,15.73080307563025,-0.0,74.8521068
4690,65.11,130.0,877.1999999999999,0.0,13.90501910420167,-0.0,78.27106451
4691,77.095,130.0,999.6,0.0,149.43350380840332,-0.0,83.26567339
4692,81.77,130.0,1060.8,0.0,298.38055306386553,-0.0,77.93226975
4693,78.795,130.0,1020.0,0.0,183.13785497647058,-0.0,206.4590438
4694,68.255,130.0,918.0,0.0,36.55358497815124,-0.0,96.53418264
4695,51.0,130.0,734.4,0.0,12.0792351327731,-0.0,82.00125797
4696,28.645,130.0,510.0,0.0,10.25345116134453,-0.0,77.00664909
4697,11.985,130.0,244.79999999999998,0.0,209.97989776134452,-0.0,72.79986579
4698,4.93,130.0,40.800000000000004,0.0,475.9954290756302,-0.0,83.5395442
4699,2.38,130.0,20.400000000000002,0.0,286.03597908403367,-0.0,196.4382996
4700,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4701,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4702,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4703,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4704,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4705,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4706,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4707,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4708,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4709,1.02,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
